"","lambda0","mu","Beta_N"
"mse_cnn",0.230816933159605,0.21031029766712,1.02597115750633
"mse_cnnltt",0.2116284187629,0.15969869864244,1.06244633385268
"mse_mle",0.814538180289415,1.1242823049745,2.58493661294212
